ICAO24,Callsign,Longitude,Latitude,Baro_Altitude,Velocity
4b1814,SWR9JA  ,3.1709,48.5382,8839.2,240.08
4b1816,SWR7EB  ,11.8951,49.8966,8938.26,280.1
ab1644,UAL1051 ,-122.8501,38.5063,7993.38,225.75
a58211,N454MF  ,-89.3264,30.0997,7010.4,236.05
a5cb05,N4721B  ,-82.0396,27.9893,60.96,32.0
e8027d,LPE2295 ,-77.6377,-11.6504,5219.7,192.95
a57b26,N452SM  ,-104.8094,40.1851,1668.78,55.2
aa56db,UAL1767 ,-104.3704,39.8095,2941.32,155.21
aa56da,UAL2191 ,-84.651,35.236,10980.42,217.93
4b1813,SWR73MH ,13.3496,52.0497,3787.14,199.45
ade18c,AAL2095 ,-75.343,39.8,967.74,126.47
abd9d7,N86289  ,-81.2597,40.9885,670.56,62.28
ade191,DAL2699 ,-97.589,35.4163,457.2,68.94
a41eef,N365AR  ,-106.7207,34.9252,5029.2,86.78
a678e9,N516ND  ,-81.2671,29.3324,586.74,55.24
a3b87f,DAL1509 ,-91.2235,30.3009,9448.8,240.92
a9f05b,N74BS   ,-99.0688,28.0456,2263.14,84.5
a4b205,N401TD  ,-74.0311,40.5688,228.6,62.38
a305ff,N294T   ,-73.9714,40.3898,30.48,12.44
880456,AIQ137  ,82.8683,12.7299,10363.2,258.56
880455,AIQ420  ,101.2026,13.0288,6484.62,187.99
4b1803,SWR68LG ,23.9703,37.5209,11582.4,238.58
aa56d8,UAL1610 ,-105.4875,39.3928,6499.86,191.26
4b1807,SWR40LD ,-2.9415,42.4326,11277.6,190.91
a7b07c,FDX6011 ,128.8667,32.9354,11590.02,243.81
3d7f8a,DFUNY   ,8.2394,51.5832,297.18,36.03
4b1801,SWR181V ,8.8051,45.191,10888.98,209.1
4b1802,SWR271X ,4.7592,45.1688,6987.54,242.7
a678ef,NKS712  ,-88.7917,30.8223,11277.6,243.96
aa56bf,N7652F  ,-81.8414,40.7753,1051.56,53.13
a34e81,N312CR  ,-105.0821,40.2999,2834.64,61.15
acdfa6,AAL2171 ,-80.1035,25.6598,2590.8,141.77
a9a0fb,N7198Q  ,-82.3495,27.382,571.5,50.94
ac4963,DAL2952 ,-86.3416,39.5592,1973.58,144.81
4952ca,TAP1359 ,-9.1345,38.7797,,11.32
