id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Food and drink,Seat comfort,Checkin service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
19556,Female,Loyal Customer,52,Business Travel,Eco,160,5,3,3,2,5,50,44.0,Satisfied
90035,Female,Loyal Customer,36,Business Travel,Business,2863,1,5,5,3,5,0,0.0,Satisfied
12360,Male,Disloyal Customer,20,Business Travel,Eco,192,2,2,2,2,2,0,0.0,Neutral or Dissatisfied
77959,Male,Loyal Customer,44,Business Travel,Business,3377,0,3,4,3,4,0,6.0,Satisfied
36875,Female,Loyal Customer,49,Business Travel,Eco,1182,2,4,2,4,4,0,20.0,Satisfied
39177,Male,Loyal Customer,16,Business Travel,Eco,311,3,5,3,1,5,0,0.0,Satisfied
79433,Female,Loyal Customer,77,Business Travel,Business,3987,5,3,5,4,3,0,0.0,Satisfied
97286,Female,Loyal Customer,43,Business Travel,Business,2556,2,4,5,5,3,77,65.0,Satisfied
27508,Male,Loyal Customer,47,Business Travel,Eco,556,5,5,5,3,5,1,0.0,Satisfied
62482,Female,Loyal Customer,46,Business Travel,Business,1744,2,3,4,5,4,28,14.0,Satisfied
47583,Female,Loyal Customer,47,Business Travel,Eco,1235,4,5,5,1,4,29,19.0,Satisfied
115550,Female,Loyal Customer,33,Business Travel,Business,325,2,1,4,3,4,18,7.0,Neutral or Dissatisfied
119987,Female,Loyal Customer,46,Business Travel,Business,1009,5,4,5,5,3,0,0.0,Satisfied
42141,Female,Loyal Customer,60,Business Travel,Business,451,1,5,4,3,5,117,113.0,Satisfied
2274,Female,Loyal Customer,52,Business Travel,Business,925,2,5,4,3,5,10,0.0,Satisfied
22470,Male,Loyal Customer,50,Personal Travel,Eco,83,3,2,2,4,2,5,2.0,Neutral or Dissatisfied
124915,Female,Loyal Customer,31,Business Travel,Eco,728,2,2,2,4,2,2,0.0,Neutral or Dissatisfied
17836,Male,Loyal Customer,52,Personal Travel,Eco Plus,1075,5,4,4,4,4,0,0.0,Satisfied
76872,Female,Loyal Customer,43,Personal Travel,Eco,1927,3,4,5,4,3,0,0.0,Neutral or Dissatisfied
64287,Female,Loyal Customer,50,Business Travel,Business,3799,5,4,4,5,5,8,0.0,Satisfied
63995,Male,Loyal Customer,60,Business Travel,Business,612,4,2,5,5,5,21,49.0,Satisfied
75855,Male,Loyal Customer,43,Personal Travel,Eco,1437,3,2,2,4,2,0,0.0,Neutral or Dissatisfied
106181,Male,Loyal Customer,55,Personal Travel,Eco,302,1,4,4,4,4,0,0.0,Neutral or Dissatisfied
44304,Male,Loyal Customer,25,Business Travel,Business,1428,4,4,4,1,4,0,0.0,Satisfied
82602,Female,Disloyal Customer,30,Business Travel,Eco,528,4,2,2,4,2,0,0.0,Neutral or Dissatisfied
7823,Male,Loyal Customer,62,Personal Travel,Eco,710,3,2,2,4,2,0,0.0,Neutral or Dissatisfied
127781,Male,Loyal Customer,24,Business Travel,Business,3680,4,2,2,5,2,0,0.0,Satisfied
34501,Female,Loyal Customer,22,Business Travel,Eco,1521,4,4,4,1,4,3,13.0,Satisfied
121658,Male,Loyal Customer,44,Business Travel,Business,1543,3,5,5,5,5,0,0.0,Satisfied
20219,Male,Loyal Customer,51,Business Travel,Eco,235,4,4,4,3,4,0,0.0,Neutral or Dissatisfied
67551,Male,Loyal Customer,43,Personal Travel,Business,1235,1,1,4,4,5,0,0.0,Neutral or Dissatisfied
48994,Female,Loyal Customer,56,Business Travel,Eco,308,2,5,5,2,2,0,0.0,Satisfied
70811,Male,Disloyal Customer,41,Business Travel,Eco,624,2,5,5,1,5,0,0.0,Neutral or Dissatisfied
