ICAO24,Callsign,Longitude,Latitude,Baro_Altitude,Velocity
e49406,GLO7682 ,-58.0978,-34.0958,5448.3,155.3
4b1815,SWR9JA  ,3.417,50.9041,10264.14,250.31
4b1816,SWR1ZH  ,8.5579,47.4526,426.72,0.45
4b1817,SWR73SN ,15.2653,57.1793,11590.02,210.38
a1abf7,N2069Y  ,-76.2435,36.9726,1005.84,83.97
e8027e,LPE2401 ,-77.2659,-11.9385,1211.58,137.06
a5cb05,N4721B  ,-81.8726,28.0412,1036.32,46.07
a3a555,N334GV  ,,,,0.0
a57b26,N452SM  ,-104.9193,40.6524,2651.76,52.67
ad4f1d,N957ES  ,-97.9421,35.5683,640.08,49.32
4b1812,SWR1FG  ,0.2734,51.6514,2743.2,121.69
ade18c,AAL1544 ,-100.9364,34.7522,10668.0,232.39
4b1813,SWR2TZ  ,4.9447,43.3895,11277.6,210.97
ade191,DAL2815 ,-81.761,42.6497,6728.46,188.05
abd9d9,SWA3344 ,-82.214,40.9827,10980.42,218.74
a1fb5e,N227DS  ,-89.2497,41.3123,1935.48,105.62
c07d20,JZA659  ,-70.7993,43.7691,7315.2,146.74
440da4,JPV137P ,8.6877,47.2313,4762.5,165.96
440da6,JAR37   ,16.5411,48.1225,,8.75
880452,AIQ350  ,100.6857,14.0929,967.74,120.15
3d602e,DFIRE   ,12.9738,49.8922,8229.6,147.48
4b1803,SWR210A ,5.5957,45.6796,5981.7,233.25
aa56d8,UAL1764 ,-117.246,33.511,5829.3,205.75
39d228,FHURI2  ,4.1731,44.8236,3048.0,89.11
4b1806,SWR94EJ ,8.5628,47.4425,426.72,0.0
a4d86a,LXJ411  ,-87.4376,42.2154,3048.0,160.84
4b1807,SWR1319 ,8.9396,48.2935,5417.82,166.72
aa56d4,UAL1080 ,-80.7515,24.6862,10668.0,249.3
4b1809,SWR25HB ,4.1101,40.6746,9403.08,241.6
aa56d5,UAL2369 ,-83.4136,39.9555,10363.2,224.04
ad4f0b,DAL2042 ,-88.6042,34.4865,6126.48,207.31
a5f848,N484JL  ,-87.2882,36.6077,419.1,40.25
51111e,JAF48J  ,3.5685,49.8455,8595.36,193.77
a65ee2,N5098U  ,-95.2161,38.1108,2133.6,86.86
a3687e,AJT883  ,-101.5922,43.9328,11887.2,254.92
4b1800,SWR7TU  ,10.4181,49.3026,11209.02,201.26
4b1801,SWR3AG  ,8.557,47.4536,,0.0
4b1802,SWR2303 ,6.1241,46.2484,426.72,0.0
a678ef,NKS1180 ,-95.268,39.6526,11285.22,255.36
a5820f,N454MD  ,-98.7753,30.0843,1036.32,52.3
51111d,TAP785  ,-0.3602,47.6097,10668.0,188.9
aa9f3f,SWA577  ,-116.8568,34.3604,11582.4,219.42
4952ca,TAP1274 ,-1.6288,41.1623,10965.18,252.42
880443,AIQ645  ,100.9882,15.3477,7856.22,216.13
aae316,AAL493  ,-98.3033,29.6468,3124.2,156.72
4952cb,TAP553R ,-5.3612,41.5441,11277.6,198.37
abc6b0,N858SR  ,-94.429,38.6711,2407.92,73.39
ac2308,YEL4    ,-83.0911,34.4116,3680.46,172.22
a65eca,N50975  ,-83.8199,33.6944,518.16,49.05
a36898,DAL946  ,-107.619,41.6193,10363.2,236.7
a928ba,CWG69   ,-89.2492,36.9376,10972.8,249.02
acdfa3,ASA555  ,-122.3063,47.4447,,1.03
a10e8b,UAL660  ,-93.9998,40.0,11582.4,217.44
a09262,DCM4046 ,-77.2743,40.1391,1196.34,86.59
511162,TOM5YT  ,-2.4379,53.3197,1287.78,82.42
511163,TOM6JA  ,12.722,44.3275,10668.0,237.99
ac2f62,N8842U  ,-82.7951,34.4965,922.02,40.26
511168,TAP1105 ,-6.0092,37.4916,1219.2,80.81
ad3c16,AAL1107 ,-97.5218,32.4729,4701.54,197.18
a1befb,N211U   ,-97.709,31.8697,1661.16,45.11
0d0c14,XARUV   ,-115.283,34.889,7010.4,218.36
a4d881,N411GV  ,-150.5673,60.9242,1234.44,69.5
a1c5f4,N213PH  ,-84.7884,38.8241,7345.68,116.05
aa69db,ENY3765 ,-90.3313,38.7345,228.6,70.51
511159,JAF98K  ,-11.5895,35.8059,10058.4,219.72
440dc9,RVP202  ,-8.0708,39.1874,243.84,35.83
a6eb12,LXJ545  ,-101.5059,49.0715,12496.8,278.84
aaf656,VXP324  ,-79.5344,26.418,4815.84,201.19
3cf0c2,SCR168  ,6.0403,46.0771,13106.4,199.44
aa56b6,UAL213  ,-99.3868,39.1277,10058.4,255.76
aa56b5,UAL1511 ,-77.6155,40.144,9753.6,222.87
aa56b8,UAL242  ,-115.2349,36.072,1417.32,112.7
a808d7,ATN3331 ,-109.3042,32.3681,11582.4,227.01
c07d1a,HRT373  ,-73.4994,42.3562,6781.8,217.04
ad4f2a,CFS8678 ,-123.1249,44.3828,2735.58,77.48
a1bef6,N211TV  ,-80.2613,25.7739,342.9,59.43
ac1c45,N88JA   ,-84.3531,38.9951,1501.14,56.08
ad5623,AAL2993 ,-87.9082,41.9704,,6.69
aa56b4,UAL2147 ,-74.6027,40.6724,1836.42,149.62
ac231d,FDY245  ,-77.4746,38.9606,106.68,85.93
ad3c27,DAL2817 ,-85.2062,33.1341,5867.4,212.35
aad000,N796TH  ,-85.9154,32.0187,1325.88,50.55
4952c1,TAP124G ,-1.3596,40.7232,11285.22,212.34
a34e57,N312AZ  ,-84.4225,39.1027,,11.83
4952c2,TAP764K ,10.1767,59.8284,3322.32,135.79
ad5628,DAL2490 ,-83.4655,38.675,7315.2,234.62
a3552f,N3136Q  ,-114.9447,35.8976,1150.62,58.25
4952c5,TAP33LZ ,-9.1328,38.7742,,1.54
a0e250,AAL483  ,-91.0583,36.408,10363.2,241.62
e48d15,PROHB   ,-41.0665,-22.9492,1394.46,79.71
4b180c,SWR1WR  ,4.9841,47.0174,8061.96,210.31
407a05,EZY9660 ,1.2427,50.4036,7391.4,205.58
a2ded8,SWA259  ,-114.9811,34.0226,11887.2,257.21
407a06,EZY52PA ,3.2768,52.7835,10668.0,231.78
