ICAO24,Callsign,Longitude,Latitude,Baro_Altitude,Velocity
e49406,GLO7682 ,-58.1115,-34.1045,5334.0,152.1
4b1815,SWR9JA  ,3.4515,50.8962,10309.86,251.1
4b1816,SWR1ZH  ,8.5579,47.4526,426.72,0.45
4b1817,SWR73SN ,15.2522,57.1606,11590.02,210.38
a1abf7,N2069Y  ,-76.2435,36.9726,1005.84,83.97
e8027e,LPE2401 ,-77.2711,-11.9268,1135.38,136.8
a5cb05,N4721B  ,-81.8732,28.0369,1036.32,45.92
a3a555,N334GV  ,,,,0.0
a57b26,N452SM  ,-104.9206,40.6476,2667.0,53.57
ad4f1d,N957ES  ,-97.9368,35.567,632.46,50.28
4b1812,SWR1FG  ,0.2718,51.6513,2743.2,121.72
ade18c,AAL1544 ,-100.9112,34.743,10668.0,233.07
4b1813,SWR2TZ  ,4.9324,43.3717,11277.6,210.97
ade191,DAL2815 ,-81.7833,42.6477,6682.74,186.52
abd9d9,SWA3344 ,-82.2406,40.9869,10980.42,219.25
a1fb5e,N227DS  ,-89.2497,41.3123,1935.48,105.62
c07d20,JZA659  ,-70.8177,43.7656,7307.58,147.37
440da4,JPV137P ,8.6997,47.2185,4846.32,162.21
440da6,JAR37   ,16.5411,48.1225,,8.75
880452,AIQ350  ,100.6905,14.0828,914.4,117.04
3d602e,DFIRE   ,12.9917,49.8866,8229.6,147.26
4b1803,SWR210A ,5.597,45.6812,5974.08,234.69
aa56d8,UAL1764 ,-117.2224,33.5071,5920.74,207.98
39d228,FHURI2  ,4.1731,44.8236,3048.0,89.11
4b1806,SWR94EJ ,8.5628,47.4425,426.72,0.0
a4d86a,LXJ411  ,-87.417,42.2191,3185.16,167.08
4b1807,SWR1319 ,8.9396,48.2935,5417.82,166.39
aa56d4,UAL1080 ,-80.7515,24.6862,10668.0,249.3
4b1809,SWR25HB ,4.1128,40.6798,9410.7,241.6
aa56d5,UAL2369 ,-83.4427,39.9545,10363.2,224.02
ad4f0b,DAL2042 ,-88.6042,34.4865,6126.48,207.31
a5f848,N484JL  ,-87.2884,36.6077,419.1,40.25
51111e,JAF48J  ,3.5625,49.8436,8602.98,201.78
a65ee2,N5098U  ,-95.2104,38.105,2133.6,86.86
a3687e,AJT883  ,-101.5922,43.9328,11887.2,254.92
4b1800,SWR7TU  ,10.4014,49.2878,11193.78,200.84
4b1801,SWR3AG  ,8.557,47.4536,,0.0
4b1802,SWR2303 ,6.1241,46.2484,426.72,0.0
a678ef,NKS1180 ,-95.2393,39.6542,11285.22,255.32
a5820f,N454MD  ,-98.7753,30.0843,1036.32,52.27
51111d,TAP785  ,-0.3779,47.5969,10668.0,188.9
aa9f3f,SWA577  ,-116.881,34.366,11582.4,220.55
4952ca,TAP1274 ,-1.5979,41.1679,10965.18,251.92
880443,AIQ645  ,100.9882,15.3477,7856.22,216.13
aae316,AAL493  ,-98.3035,29.6474,3124.2,140.72
4952cb,TAP553R ,-5.3885,41.5333,11277.6,198.37
abc6b0,N858SR  ,-94.429,38.6711,2407.92,73.39
ac2308,YEL4    ,-83.0957,34.4258,3611.88,171.59
a65eca,N50975  ,-83.8223,33.6889,510.54,51.0
a36898,DAL946  ,-107.619,41.6193,10363.2,236.7
a928ba,CWG69   ,-89.2689,36.9205,10972.8,249.02
acdfa3,ASA555  ,-122.3063,47.4447,,1.03
a10e8b,UAL660  ,-94.0228,39.9932,11582.4,217.14
a09262,DCM4046 ,-77.2743,40.1391,1196.34,86.59
511162,TOM5YT  ,-2.4417,53.3196,1295.4,98.79
511163,TOM6JA  ,12.7395,44.3104,10668.0,238.4
ac2f62,N8842U  ,-82.7899,34.4967,906.78,42.95
511168,TAP1105 ,-6.0154,37.4967,1257.3,82.24
ad3c16,AAL1107 ,-97.5061,32.4866,4648.2,196.1
a1befb,N211U   ,-97.709,31.8697,1661.16,45.11
0d0c14,XARUV   ,-115.2736,34.9102,7010.4,217.25
a4d881,N411GV  ,-150.5781,60.92,1234.44,69.82
a1c5f4,N213PH  ,-84.7909,38.8347,7345.68,116.14
aa69db,ENY3765 ,-90.3313,38.7345,228.6,70.51
511159,JAF98K  ,-11.5895,35.8059,10058.4,219.72
440dc9,RVP202  ,-8.0708,39.1874,243.84,35.83
a6eb12,LXJ545  ,-101.5059,49.0715,12496.8,278.84
aaf656,VXP324  ,-79.5167,26.4334,4945.38,201.92
3cf0c2,SCR168  ,6.0378,46.0582,13106.4,199.95
